variant,inst_type,n,density,beam_width,avg_obj,avg_time,avg_gap,std_gap,max_gap,success_rate
Fennich_Baseline,DKS,10,0.5,0,16.0,0.0036458333333333,0.0,0.0,0.0,100.0
V1_Static_Greedy,DKS,10,0.5,1,15.866666666666667,0.0005208333333333,0.8585858585858586,3.358111153510968,16.666666666666668,93.33333333333331
V2_Dynamic_Greedy,DKS,10,0.5,1,15.866666666666667,0.0010416666666666,0.6734006734006733,2.53309668334061,11.11111111111111,93.33333333333331
V3_Diverse_Beam_Static,DKS,10,0.5,5,16.0,0.0020833333333333,0.0,0.0,0.0,100.0
V3b_Standard_Beam,DKS,10,0.5,5,15.933333333333334,0.0010416666666666,0.3703703703703703,1.9945054841238905,11.11111111111111,96.66666666666669
V3c_Standard_Beam_Static,DKS,10,0.5,5,16.0,0.0010416666666666,0.0,0.0,0.0,100.0
V4_Full_Proposed,DKS,10,0.5,5,16.0,0.0015625,0.0,0.0,0.0,100.0
Fennich_Baseline,DKS,10,0.75,0,22.2,0.0020833333333333,0.0,0.0,0.0,100.0
V1_Static_Greedy,DKS,10,0.75,1,22.2,0.0,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,DKS,10,0.75,1,22.133333333333333,0.0,0.1666666666666666,0.8975274678557507,5.0,96.66666666666669
V3_Diverse_Beam_Static,DKS,10,0.75,5,22.2,0.0020833333333333,0.0,0.0,0.0,100.0
V3b_Standard_Beam,DKS,10,0.75,5,22.2,0.0015625,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,DKS,10,0.75,5,22.2,0.0,0.0,0.0,0.0,100.0
V4_Full_Proposed,DKS,10,0.75,5,22.2,0.0020833333333333,0.0,0.0,0.0,100.0
Fennich_Baseline,DKS,10,0.9,0,22.33333333333333,0.0036458333333333,0.0,0.0,0.0,100.0
V1_Static_Greedy,DKS,10,0.9,1,22.33333333333333,0.0,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,DKS,10,0.9,1,22.33333333333333,0.0005208333333333,0.0,0.0,0.0,100.0
V3_Diverse_Beam_Static,DKS,10,0.9,5,22.33333333333333,0.0010416666666666,0.0,0.0,0.0,100.0
V3b_Standard_Beam,DKS,10,0.9,5,22.33333333333333,0.0010416666666666,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,DKS,10,0.9,5,22.33333333333333,0.0010416666666666,0.0,0.0,0.0,100.0
V4_Full_Proposed,DKS,10,0.9,5,22.33333333333333,0.0015625,0.0,0.0,0.0,100.0
Fennich_Baseline,DKS,25,0.5,0,116.53333333333332,0.0744791666666666,0.0350877192982456,0.1921833535105846,1.0526315789473684,96.66666666666669
V1_Static_Greedy,DKS,25,0.5,1,115.86666666666666,0.0015625,1.0187921445253607,1.6546749929330946,5.2631578947368425,66.66666666666666
V2_Dynamic_Greedy,DKS,25,0.5,1,115.93333333333334,0.0041666666666666,0.9336268248362316,1.708583177423483,5.2631578947368425,73.33333333333333
V3_Diverse_Beam_Static,DKS,25,0.5,5,116.4,0.0151041666666666,0.2700501253132832,0.9968254222059224,5.2631578947368425,90.0
V3b_Standard_Beam,DKS,25,0.5,5,116.4,0.0072916666666666,0.25944669365722,0.8760591438530427,4.166666666666667,90.0
V3c_Standard_Beam_Static,DKS,25,0.5,5,116.46666666666668,0.0041666666666666,0.2623456790123457,0.9834255534786926,4.166666666666667,93.33333333333331
V4_Full_Proposed,DKS,25,0.5,5,116.53333333333332,0.0166666666666666,0.0350877192982456,0.1921833535105846,1.0526315789473684,96.66666666666669
Fennich_Baseline,DKS,25,0.75,0,140.8,0.06875,0.1267489711934156,0.5048881862508665,2.469135802469136,93.33333333333331
V1_Static_Greedy,DKS,25,0.75,1,140.0,0.0020833333333333,0.8624442202613294,1.562147929222521,5.555555555555555,73.33333333333333
V2_Dynamic_Greedy,DKS,25,0.75,1,140.66666666666666,0.00625,0.2724653946876169,0.6270475461297982,2.272727272727273,83.33333333333334
V3_Diverse_Beam_Static,DKS,25,0.75,5,140.73333333333332,0.0177083333333333,0.2337448559670782,0.6365705802788938,2.7777777777777777,86.66666666666667
V3b_Standard_Beam,DKS,25,0.75,5,140.86666666666667,0.0088541666666666,0.1,0.3766322501484064,1.6666666666666667,93.33333333333331
V3c_Standard_Beam_Static,DKS,25,0.75,5,140.66666666666666,0.0057291666666666,0.3119341563786008,1.0926957396306316,5.555555555555555,90.0
V4_Full_Proposed,DKS,25,0.75,5,140.86666666666667,0.0161458333333333,0.1,0.3830708746683269,1.6666666666666667,93.33333333333331
Fennich_Baseline,DKS,25,0.9,0,118.73333333333332,0.053125,0.0722755505364201,0.2807659520069652,1.2987012987012987,93.33333333333331
V1_Static_Greedy,DKS,25,0.9,1,118.46666666666668,0.0010416666666666,0.1981271546488937,0.4611108075364694,1.7391304347826086,83.33333333333334
V2_Dynamic_Greedy,DKS,25,0.9,1,118.8,0.0046875,0.0432900432900432,0.2331240176248702,1.2987012987012987,96.66666666666669
V3_Diverse_Beam_Static,DKS,25,0.9,5,118.8,0.0114583333333333,0.0432900432900432,0.2331240176248702,1.2987012987012987,96.66666666666669
V3b_Standard_Beam,DKS,25,0.9,5,118.8,0.0072916666666666,0.0432900432900432,0.2331240176248702,1.2987012987012987,96.66666666666669
V3c_Standard_Beam_Static,DKS,25,0.9,5,118.73333333333332,0.0041666666666666,0.0722755505364201,0.276046860417149,1.2987012987012987,93.33333333333331
V4_Full_Proposed,DKS,25,0.9,5,118.86666666666666,0.0140625,0.0,0.0,0.0,100.0
Fennich_Baseline,DKS,50,0.5,0,570.6666666666666,1.525,,,,
V1_Static_Greedy,DKS,50,0.5,1,569.6,0.0072916666666666,,,,
V2_Dynamic_Greedy,DKS,50,0.5,1,570.1333333333333,0.0244791666666666,,,,
V3_Diverse_Beam_Static,DKS,50,0.5,5,570.6,0.0817708333333333,,,,
V3b_Standard_Beam,DKS,50,0.5,5,570.3333333333334,0.0510416666666666,,,,
V3c_Standard_Beam_Static,DKS,50,0.5,5,570.4666666666667,0.0229166666666666,,,,
V4_Full_Proposed,DKS,50,0.5,5,570.8,0.1145833333333333,,,,
Fennich_Baseline,DKS,50,0.75,0,588.8,1.1322916666666667,,,,
V1_Static_Greedy,DKS,50,0.75,1,586.2666666666667,0.0083333333333333,,,,
V2_Dynamic_Greedy,DKS,50,0.75,1,588.0,0.0270833333333333,,,,
V3_Diverse_Beam_Static,DKS,50,0.75,5,588.4666666666667,0.0770833333333333,,,,
V3b_Standard_Beam,DKS,50,0.75,5,588.5333333333333,0.0494791666666666,,,,
V3c_Standard_Beam_Static,DKS,50,0.75,5,587.5333333333333,0.0229166666666666,,,,
V4_Full_Proposed,DKS,50,0.75,5,588.6666666666666,0.0984375,,,,
Fennich_Baseline,DKS,50,0.9,0,784.1333333333333,1.2348958333333333,,,,
V1_Static_Greedy,DKS,50,0.9,1,783.1333333333333,0.00625,,,,
V2_Dynamic_Greedy,DKS,50,0.9,1,783.9333333333333,0.0255208333333333,,,,
V3_Diverse_Beam_Static,DKS,50,0.9,5,784.1333333333333,0.0770833333333333,,,,
V3b_Standard_Beam,DKS,50,0.9,5,784.0666666666667,0.0473958333333333,,,,
V3c_Standard_Beam_Static,DKS,50,0.9,5,783.3333333333334,0.0223958333333333,,,,
V4_Full_Proposed,DKS,50,0.9,5,784.2,0.103125,,,,
Fennich_Baseline,DKS,100,0.5,0,1475.1333333333334,18.02552083333333,,,,
V1_Static_Greedy,DKS,100,0.5,1,1470.6666666666667,0.0369791666666666,,,,
V2_Dynamic_Greedy,DKS,100,0.5,1,1473.1333333333334,0.1453125,,,,
V3_Diverse_Beam_Static,DKS,100,0.5,5,1475.0,0.4359375,,,,
V3b_Standard_Beam,DKS,100,0.5,5,1474.4666666666667,0.2859375,,,,
V3c_Standard_Beam_Static,DKS,100,0.5,5,1472.0,0.1255208333333333,,,,
V4_Full_Proposed,DKS,100,0.5,5,1475.2666666666669,0.6078125,,,,
Fennich_Baseline,DKS,100,0.75,0,3238.0,27.722916666666663,,,,
V1_Static_Greedy,DKS,100,0.75,1,3235.133333333333,0.0489583333333333,,,,
V2_Dynamic_Greedy,DKS,100,0.75,1,3235.8,0.1895833333333333,,,,
V3_Diverse_Beam_Static,DKS,100,0.75,5,3237.9333333333334,0.5458333333333333,,,,
V3b_Standard_Beam,DKS,100,0.75,5,3238.0666666666666,0.3682291666666666,,,,
V3c_Standard_Beam_Static,DKS,100,0.75,5,3235.4666666666667,0.1791666666666666,,,,
V4_Full_Proposed,DKS,100,0.75,5,3238.6,0.775,,,,
Fennich_Baseline,DKS,100,0.9,0,3758.8,25.685416666666665,,,,
V1_Static_Greedy,DKS,100,0.9,1,3755.733333333333,0.046875,,,,
V2_Dynamic_Greedy,DKS,100,0.9,1,3757.866666666667,0.2010416666666666,,,,
V3_Diverse_Beam_Static,DKS,100,0.9,5,3757.8,0.5375,,,,
V3b_Standard_Beam,DKS,100,0.9,5,3758.266666666667,0.3807291666666667,,,,
V3c_Standard_Beam_Static,DKS,100,0.9,5,3755.4,0.1729166666666666,,,,
V4_Full_Proposed,DKS,100,0.9,5,3758.4,0.76875,,,,
Fennich_Baseline,DKS,150,0.5,0,5155.333333333333,169.56145833333332,,,,
V1_Static_Greedy,DKS,150,0.5,1,5146.466666666666,0.1239583333333333,,,,
V2_Dynamic_Greedy,DKS,150,0.5,1,5152.6,0.5932291666666667,,,,
V3_Diverse_Beam_Static,DKS,150,0.5,5,5155.0,1.7098958333333334,,,,
V3b_Standard_Beam,DKS,150,0.5,5,5154.066666666667,1.178125,,,,
V3c_Standard_Beam_Static,DKS,150,0.5,5,5151.666666666667,0.5328125,,,,
V4_Full_Proposed,DKS,150,0.5,5,5155.0,2.427083333333333,,,,
Fennich_Baseline,DKS,150,0.75,0,6602.933333333333,151.4796875,,,,
V1_Static_Greedy,DKS,150,0.75,1,6597.133333333333,0.1046875,,,,
V2_Dynamic_Greedy,DKS,150,0.75,1,6600.4,0.5270833333333333,,,,
V3_Diverse_Beam_Static,DKS,150,0.75,5,6602.533333333334,1.278125,,,,
V3b_Standard_Beam,DKS,150,0.75,5,6600.666666666667,0.9963541666666668,,,,
V3c_Standard_Beam_Static,DKS,150,0.75,5,6598.933333333333,0.4317708333333333,,,,
V4_Full_Proposed,DKS,150,0.75,5,6602.4,1.8604166666666664,,,,
Fennich_Baseline,DKS,150,0.9,0,8112.933333333333,148.11614583333332,,,,
V1_Static_Greedy,DKS,150,0.9,1,8108.466666666666,0.1213541666666666,,,,
V2_Dynamic_Greedy,DKS,150,0.9,1,8111.8,0.5973958333333333,,,,
V3_Diverse_Beam_Static,DKS,150,0.9,5,8111.266666666666,1.453125,,,,
V3b_Standard_Beam,DKS,150,0.9,5,8112.666666666667,1.0817708333333331,,,,
V3c_Standard_Beam_Static,DKS,150,0.9,5,8108.933333333333,0.4869791666666667,,,,
V4_Full_Proposed,DKS,150,0.9,5,8112.666666666667,2.1296875,,,,
Fennich_Baseline,DKS,200,0.5,0,7410.6,462.9604166666667,,,,
V1_Static_Greedy,DKS,200,0.5,1,7400.4,0.26875,,,,
V2_Dynamic_Greedy,DKS,200,0.5,1,7408.066666666667,1.3203125,,,,
V3_Diverse_Beam_Static,DKS,200,0.5,5,7410.333333333333,3.65,,,,
V3b_Standard_Beam,DKS,200,0.5,5,7409.8,2.5390625,,,,
V3c_Standard_Beam_Static,DKS,200,0.5,5,7404.8,1.1036458333333334,,,,
V4_Full_Proposed,DKS,200,0.5,5,7411.333333333333,5.36875,,,,
Fennich_Baseline,DKS,200,0.75,0,9912.733333333334,470.5953125,,,,
V1_Static_Greedy,DKS,200,0.75,1,9902.333333333334,0.2869791666666667,,,,
V2_Dynamic_Greedy,DKS,200,0.75,1,9907.066666666668,1.2984375,,,,
V3_Diverse_Beam_Static,DKS,200,0.75,5,9907.533333333333,3.159895833333333,,,,
V3b_Standard_Beam,DKS,200,0.75,5,9910.266666666666,2.378125,,,,
V3c_Standard_Beam_Static,DKS,200,0.75,5,9902.333333333334,1.175,,,,
V4_Full_Proposed,DKS,200,0.75,5,9910.4,4.883333333333334,,,,
Fennich_Baseline,DKS,200,0.9,0,12070.866666666669,468.659375,,,,
V1_Static_Greedy,DKS,200,0.9,1,12059.266666666666,0.2619791666666666,,,,
V2_Dynamic_Greedy,DKS,200,0.9,1,12068.4,1.3578125,,,,
V3_Diverse_Beam_Static,DKS,200,0.9,5,12067.266666666666,3.095833333333333,,,,
V3b_Standard_Beam,DKS,200,0.9,5,12069.4,2.4052083333333334,,,,
V3c_Standard_Beam_Static,DKS,200,0.9,5,12060.8,1.0901041666666669,,,,
V4_Full_Proposed,DKS,200,0.9,5,12069.866666666669,4.861979166666667,,,,
Fennich_Baseline,DKS,250,0.5,0,,,,,,
V1_Static_Greedy,DKS,250,0.5,1,8409.333333333334,0.428125,,,,
V2_Dynamic_Greedy,DKS,250,0.5,1,8419.733333333334,2.033333333333333,,,,
V3_Diverse_Beam_Static,DKS,250,0.5,5,8425.266666666666,5.248958333333333,,,,
V3b_Standard_Beam,DKS,250,0.5,5,8423.0,3.79375,,,,
V3c_Standard_Beam_Static,DKS,250,0.5,5,8412.466666666667,1.8401041666666669,,,,
V4_Full_Proposed,DKS,250,0.5,5,8423.466666666667,7.991666666666666,,,,
Fennich_Baseline,DKS,250,0.75,0,,,,,,
V1_Static_Greedy,DKS,250,0.75,1,12926.133333333331,0.4380208333333333,,,,
V2_Dynamic_Greedy,DKS,250,0.75,1,12937.8,2.279166666666667,,,,
V3_Diverse_Beam_Static,DKS,250,0.75,5,12940.933333333332,5.316145833333334,,,,
V3b_Standard_Beam,DKS,250,0.75,5,12941.6,4.0609375,,,,
V3c_Standard_Beam_Static,DKS,250,0.75,5,12931.466666666667,1.95,,,,
V4_Full_Proposed,DKS,250,0.75,5,12940.733333333334,9.010416666666666,,,,
Fennich_Baseline,DKS,250,0.9,0,,,,,,
V1_Static_Greedy,DKS,250,0.9,1,22435.93333333333,0.5635416666666667,,,,
V2_Dynamic_Greedy,DKS,250,0.9,1,22443.33333333333,2.838020833333333,,,,
V3_Diverse_Beam_Static,DKS,250,0.9,5,22444.13333333333,6.8453125,,,,
V3b_Standard_Beam,DKS,250,0.9,5,22445.066666666666,5.204166666666667,,,,
V3c_Standard_Beam_Static,DKS,250,0.9,5,22439.533333333333,2.480729166666667,,,,
V4_Full_Proposed,DKS,250,0.9,5,22446.93333333333,11.941145833333334,,,,
Fennich_Baseline,DKS,300,0.5,0,,,,,,
V1_Static_Greedy,DKS,300,0.5,1,15482.266666666666,0.8614583333333333,,,,
V2_Dynamic_Greedy,DKS,300,0.5,1,15488.133333333331,4.034895833333334,,,,
V3_Diverse_Beam_Static,DKS,300,0.5,5,15496.933333333332,10.477083333333333,,,,
V3b_Standard_Beam,DKS,300,0.5,5,15497.0,7.5984375,,,,
V3c_Standard_Beam_Static,DKS,300,0.5,5,15490.333333333334,3.4916666666666667,,,,
