n,instance_id,base_bw,beam_width,aggregated_anchor_pct,optimal,fl_dp_obj,fl_final_obj,fl_time_dp,fl_time_ls,fl_time_total,fl_ls_iters,fl_unique_optima,success
150,0,165,173,0.05,132,124.0,132,37.9375,1.9375,39.875,5.647398843930636,119,1
150,1,165,173,0.05,132,124.0,130,85.875,1.421875,87.296875,4.994219653179191,148,0
150,2,165,173,0.05,132,128.0,132,63.296875,0.625,63.921875,5.358381502890174,94,1
150,3,165,173,0.05,132,124.0,132,31.46875,1.75,33.21875,5.167630057803469,136,1
150,4,165,173,0.05,132,124.0,132,76.109375,2.40625,78.515625,5.028901734104046,122,1
150,5,165,173,0.05,132,126.0,132,64.6875,1.9375,66.625,5.416184971098266,107,1
150,6,165,173,0.05,132,128.0,132,51.0625,0.671875,51.734375,5.658959537572255,97,1
150,7,165,173,0.05,132,132.0,132,69.0625,2.3125,71.375,5.3468208092485545,88,1
150,8,165,173,0.05,132,132.0,132,79.921875,1.640625,81.5625,5.381502890173411,89,1
150,9,165,173,0.05,132,126.0,132,79.484375,1.828125,81.3125,5.265895953757226,135,1
150,10,165,173,0.05,132,130.0,132,81.03125,2.515625,83.546875,5.728323699421965,93,1
150,11,165,173,0.05,132,124.0,132,74.859375,2.3125,77.171875,5.005780346820809,141,1
150,12,165,173,0.05,132,126.0,132,86.046875,2.171875,88.21875,4.872832369942197,116,1
150,13,165,173,0.05,132,132.0,132,73.859375,1.8125,75.671875,5.578034682080925,98,1
150,14,165,173,0.05,132,128.0,128,75.703125,1.921875,77.625,5.30635838150289,98,0
150,15,165,173,0.05,132,128.0,132,62.265625,1.3125,63.578125,5.329479768786127,111,1
150,16,165,173,0.05,132,122.0,126,67.09375,1.625,68.71875,5.277456647398844,124,0
150,17,165,173,0.05,132,126.0,132,82.640625,1.875,84.515625,5.086705202312139,116,1
150,18,165,173,0.05,132,124.0,126,66.203125,1.375,67.578125,5.369942196531792,123,0
150,19,165,173,0.05,132,128.0,130,76.96875,1.75,78.71875,4.739884393063584,157,0
150,20,165,173,0.05,132,122.0,124,70.015625,1.625,71.640625,4.763005780346821,136,0
150,21,165,173,0.05,132,126.0,132,82.734375,1.53125,84.265625,4.791907514450867,142,1
150,22,165,173,0.05,132,128.0,132,82.46875,2.671875,85.140625,5.976878612716763,94,1
