n,instance_id,base_bw,buffer_pct,test_bw,optimal,fl_dp_obj,fl_final_obj,fl_time_dp,fl_time_ls,fl_time_total,fl_ls_iters,fl_unique_optima,success
600,0,126,0.0,126,552,526.0,552,143.46875,7.09375,150.5625,12.857142857142858,58,1
600,1,126,0.0,126,552,516.0,552,146.265625,8.28125,154.546875,14.626984126984127,62,1
600,2,126,0.0,126,552,552.0,552,143.421875,6.1875,149.609375,9.944444444444445,61,1
600,3,126,0.0,126,552,472.0,552,161.53125,5.875,167.40625,9.73015873015873,87,1
600,4,126,0.0,126,552,496.0,552,144.40625,9.96875,154.375,17.99206349206349,63,1
600,5,126,0.0,126,552,530.0,552,143.421875,7.015625,150.4375,12.373015873015873,61,1
600,6,126,0.0,126,552,470.0,552,143.53125,5.984375,149.515625,9.468253968253968,88,1
600,7,126,0.0,126,552,468.0,552,144.171875,5.578125,149.75,9.468253968253968,89,1
600,8,126,0.0,126,552,534.0,552,143.4375,6.75,150.1875,12.071428571428571,63,1
600,9,126,0.0,126,552,476.0,552,143.171875,5.546875,148.71875,9.03968253968254,73,1
600,10,126,0.0,126,552,518.0,552,143.484375,7.71875,151.203125,13.920634920634921,64,1
600,11,126,0.0,126,552,478.0,552,143.515625,5.484375,149.0,8.73015873015873,81,1
600,12,126,0.0,126,552,532.0,552,142.765625,7.421875,150.1875,11.674603174603174,63,1
600,13,126,0.0,126,552,468.0,476,142.390625,5.921875,148.3125,9.206349206349206,71,0
600,14,126,0.0,126,552,470.0,552,142.859375,5.625,148.484375,9.920634920634921,82,1
600,15,126,0.0,126,552,486.0,552,143.34375,8.046875,151.390625,18.555555555555557,65,1
600,16,126,0.0,126,552,470.0,480,142.84375,5.203125,148.046875,8.777777777777779,80,0
600,17,126,0.0,126,552,552.0,552,142.5625,6.109375,148.671875,10.793650793650794,60,1
600,18,126,0.0,126,552,474.0,476,145.234375,5.921875,151.15625,9.325396825396826,80,0
600,19,126,0.0,126,552,470.0,552,144.203125,5.609375,149.8125,9.65079365079365,86,1
600,20,126,0.0,126,552,544.0,552,142.578125,6.328125,148.90625,11.484126984126984,61,1
600,21,126,0.0,126,552,520.0,552,144.296875,7.3125,151.609375,12.373015873015873,63,1
600,22,126,0.0,126,552,534.0,552,143.421875,7.34375,150.765625,12.325396825396826,59,1
600,23,126,0.0,126,552,536.0,552,143.578125,6.15625,149.734375,11.015873015873016,62,1
600,24,126,0.0,126,552,540.0,552,144.265625,6.125,150.390625,11.571428571428571,59,1
600,25,126,0.0,126,552,464.0,552,143.28125,5.125,148.40625,8.34920634920635,89,1
600,26,126,0.0,126,552,486.0,552,143.328125,6.65625,149.984375,10.952380952380953,84,1
600,27,126,0.0,126,552,468.0,552,144.71875,6.578125,151.296875,10.706349206349206,92,1
600,28,126,0.0,126,552,552.0,552,144.1875,5.84375,150.03125,10.174603174603174,62,1
600,29,126,0.0,126,552,530.0,552,143.15625,7.15625,150.3125,11.682539682539682,63,1
300,0,169,0.05,177,272,246.0,272,84.265625,2.203125,86.46875,7.0790960451977405,109,1
300,1,169,0.05,177,272,266.0,272,82.6875,2.265625,84.953125,7.700564971751413,88,1
300,2,169,0.05,177,272,256.0,272,82.78125,2.640625,85.421875,9.485875706214689,85,1
300,3,169,0.05,177,272,260.0,272,83.34375,2.953125,86.296875,10.028248587570621,89,1
300,4,169,0.05,177,272,272.0,272,83.234375,2.375,85.609375,7.632768361581921,89,1
300,5,169,0.05,177,272,246.0,250,82.71875,2.3125,85.03125,7.293785310734464,120,0
300,6,169,0.05,177,272,248.0,272,82.796875,2.296875,85.09375,7.790960451977401,112,1
300,7,169,0.05,177,272,252.0,272,84.375,3.40625,87.78125,12.03954802259887,91,1
300,8,169,0.05,177,272,248.0,272,83.140625,2.515625,85.65625,7.790960451977401,96,1
300,9,169,0.05,177,272,272.0,272,83.40625,2.5,85.90625,8.107344632768362,86,1
300,10,169,0.05,177,272,262.0,272,83.03125,2.421875,85.453125,8.700564971751412,88,1
300,11,169,0.05,177,272,248.0,272,83.796875,2.1875,85.984375,7.468926553672317,127,1
300,12,169,0.05,177,272,248.0,272,83.03125,3.1875,86.21875,10.463276836158192,97,1
300,13,169,0.05,177,272,272.0,272,82.6875,2.546875,85.234375,7.570621468926554,88,1
300,14,169,0.05,177,272,244.0,272,83.375,2.328125,85.703125,7.429378531073446,128,1
300,15,169,0.05,177,272,272.0,272,84.09375,2.359375,86.453125,7.977401129943503,85,1
300,16,169,0.05,177,272,242.0,272,83.046875,2.140625,85.1875,7.2824858757062145,122,1
300,17,169,0.05,177,272,264.0,272,83.0,2.5,85.5,8.666666666666666,90,1
300,18,169,0.05,177,272,272.0,272,82.8125,2.484375,85.296875,8.19774011299435,87,1
300,19,169,0.05,177,272,258.0,272,83.296875,2.546875,85.84375,8.615819209039548,90,1
300,20,169,0.05,177,272,264.0,272,82.1875,2.4375,84.625,9.282485875706215,89,1
300,21,169,0.05,177,272,260.0,272,85.5625,3.1875,88.75,9.531073446327683,88,1
300,22,169,0.05,177,272,272.0,272,84.125,2.4375,86.5625,7.706214689265536,89,1
300,23,169,0.05,177,272,244.0,272,83.125,2.265625,85.390625,7.440677966101695,119,1
300,24,169,0.05,177,272,244.0,254,83.953125,2.203125,86.15625,7.242937853107344,110,0
300,25,169,0.05,177,272,244.0,272,83.0625,2.15625,85.21875,7.214689265536723,116,1
300,26,169,0.05,177,272,252.0,272,83.015625,3.703125,86.71875,10.485875706214689,90,1
300,27,169,0.05,177,272,272.0,272,83.03125,2.359375,85.390625,8.022598870056497,89,1
