n,density,fennich_avg_obj,fennich_avg_time
10,0.5,16.0,0.0033941733456837
10,0.75,22.2,0.0033736466507737
10,0.9,22.33333333333333,0.0037258200036982
25,0.5,116.53333333333332,0.1309522733325138
25,0.75,140.8,0.1139432733412832
25,0.9,118.73333333333332,0.0905619099891434
50,0.5,570.6666666666666,2.406537113330948
50,0.75,588.8,1.7473515733416811
50,0.9,784.1333333333333,2.2287518033447364
100,0.5,1475.1333333333334,30.11695842668026
100,0.75,3238.0,39.436641293329494
100,0.9,3758.8,28.758903783326968
