n,density,fennich_avg_obj,fennich_avg_time
10,0.25,831.9333333333333,0.0405706366485295
10,0.5,1428.7,0.0388799433324796
10,0.75,2212.6666666666665,0.0718069566763006
10,1.0,2637.333333333333,0.0472094066635084
25,0.25,3870.3,2.1243537266738715
25,0.5,9263.0,2.814938013329326
25,0.75,13257.033333333333,3.5197302766687546
25,1.0,15500.566666666668,3.161884690002383
50,0.25,14415.066666666668,24.728828936675562
50,0.5,35862.566666666666,36.78070446666873
50,0.75,49171.2,31.686964893329424
50,1.0,73472.66666666667,39.87861197667274
