inst_type,n,density,beam_width,num_instances,our_avg_gain_pct,our_std_gain_pct,our_avg_time_total,our_avg_unique_optima,our_avg_ls_iters,our_success_rate,our_avg_final_gap,our_max_gap,fn_avg_gain_pct,fn_std_gain_pct,fn_avg_time_total,fn_avg_ls_iters,fn_success_rate,fn_avg_final_gap,fn_max_gap
DKS,10,0.5,5,30,0.4166666666666667,2.282177322938192,0.0015625,3.7,1.6733333333333336,100.0,0.0,0.0,0.0,0.0,0.0036458333333333334,4.8,100.0,0.0,0.0
DKS,10,0.75,5,30,0.0,0.0,0.0020833333333333333,3.8333333333333335,1.5666666666666664,100.0,0.0,0.0,0.0,0.0,0.0020833333333333333,5.0,100.0,0.0,0.0
DKS,10,0.9,5,30,0.0,0.0,0.0015625,4.533333333333333,1.3133333333333337,100.0,0.0,0.0,0.0,0.0,0.0036458333333333334,4.833333333333333,100.0,0.0,0.0
DKS,25,0.5,5,30,0.376100738419579,1.22359241691221,0.016666666666666666,3.8333333333333335,4.293333333333334,96.66666666666667,0.03508771929824561,1.0526315789473684,0.0606060606060606,0.3319530651546461,0.07447916666666667,12.8,96.66666666666667,0.03508771929824561,1.0526315789473684
DKS,25,0.75,5,30,0.12931648978298746,0.4071343848049928,0.016145833333333335,4.033333333333333,3.0399999999999996,93.33333333333333,0.1,1.6666666666666667,0.0,0.0,0.06875,11.933333333333334,93.33333333333333,0.12674897119341563,2.4691358024691357
DKS,25,0.9,5,30,0.10035682426404996,0.3851508836812712,0.0140625,4.5,1.6066666666666667,100.0,0.0,0.0,0.0,0.0,0.053125,10.366666666666667,93.33333333333333,0.0722755505364201,1.2987012987012987
DKS,50,0.5,5,30,0.768994245529753,2.160684699001341,0.11458333333333333,3.7,10.713333333333333,,,,0.0,0.0,1.525,29.1,,,
DKS,50,0.75,5,30,0.4042798053664774,0.4705055129974588,0.0984375,4.266666666666667,7.780000000000001,,,,0.06618919271200369,0.18205526143413756,1.1322916666666667,24.333333333333332,,,
DKS,50,0.9,5,30,0.11270709437352816,0.23778036994984902,0.103125,4.066666666666666,4.806666666666667,,,,0.00896057347670251,0.04907908221372458,1.2348958333333333,26.2,,,
DKS,100,0.5,5,30,0.6139768990109598,0.9772940918593327,0.6078125,4.4,24.79333333333333,,,,0.05544053370140326,0.21122105320929152,18.025520833333335,43.333333333333336,,,
DKS,100,0.75,5,30,0.34767302818789225,0.578373400718715,0.775,4.033333333333333,25.593333333333337,,,,0.02960688940036684,0.09389185369140345,27.722916666666666,58.2,,,
DKS,100,0.9,5,30,0.11895157497710271,0.1769823838328267,0.76875,4.233333333333333,17.60666666666667,,,,0.016658169841984226,0.04149103180557889,25.685416666666665,58.8,,,
DKS,150,0.5,5,30,0.43366045271171555,0.563911977283282,2.4270833333333335,3.9,49.766666666666666,,,,0.03391335062835943,0.10074492798282322,169.56145833333332,90.06666666666666,,,
DKS,150,0.75,5,30,0.43985211203632385,0.7368773308732864,1.8604166666666666,3.8666666666666667,24.740000000000002,,,,0.023378185856455732,0.0772434868498178,151.4796875,75.9,,,
DKS,150,0.9,5,30,0.11650632177706864,0.20129677465866075,2.1296875,4.066666666666666,23.08,,,,0.014669993505827667,0.06583884172793757,148.11614583333332,82.06666666666666,,,
DKS,200,0.5,5,30,0.5924196945156176,0.7783250080509388,5.36875,4.233333333333333,84.8666666666667,,,,0.030302537250418624,0.06978108664471416,462.9604166666667,107.46666666666667,,,
DKS,200,0.75,5,30,0.6101456028218194,0.6750325811830028,4.883333333333334,4.166666666666667,54.940000000000005,,,,0.06357773058279256,0.11596184413835492,470.5953125,98.8,,,
DKS,200,0.9,5,30,0.18528189877111542,0.18787806085897288,4.861979166666667,4.2,38.97333333333333,,,,0.009282519356969105,0.020358105820647624,468.659375,99.43333333333334,,,
DKS,250,0.5,5,30,0.6242058257543818,0.7110625687103336,7.991666666666666,4.533333333333333,76.30666666666666,,,,,,,,,,
DKS,250,0.75,5,30,0.47960720418296404,0.49836510606013296,9.010416666666666,4.466666666666667,70.22,,,,,,,,,,
DKS,250,0.9,5,30,0.16623367412007156,0.2121704299086145,11.941145833333334,4.3,67.84666666666666,,,,,,,,,,
DKS,300,0.5,5,30,0.9265089188509207,1.0962729166485021,16.2078125,4.166666666666667,111.10666666666665,,,,,,,,,,
DKS,300,0.75,5,30,0.43530922918747184,0.48543734169312286,14.836979166666667,4.3,90.92666666666669,,,,,,,,,,
DKS,300,0.9,5,30,0.21888163698657082,0.2561884816058965,13.738020833333334,4.566666666666666,61.720000000000006,,,,,,,,,,
Gallo,10,0.25,5,30,0.0,0.0,0.00625,1.7666666666666666,3.1733333333333333,100.0,0.0,0.0,0.0,0.0,0.0234375,6.2,100.0,0.0,0.0
Gallo,10,0.5,5,30,0.0,0.0,0.007291666666666667,1.5333333333333334,3.346111111111111,100.0,0.0,0.0,0.0,0.0,0.021875,6.466666666666667,100.0,0.0,0.0
Gallo,10,0.75,5,30,0.0,0.0,0.009895833333333333,1.5333333333333334,3.5266666666666664,100.0,0.0,0.0,0.0,0.0,0.0359375,7.133333333333334,100.0,0.0,0.0
Gallo,10,1.0,5,30,0.0,0.0,0.005729166666666666,1.5666666666666667,3.336666666666667,100.0,0.0,0.0,0.0,0.0,0.024479166666666666,6.666666666666667,93.33333333333333,0.1817464324638715,5.084359325125399
Gallo,25,0.25,5,30,0.0,0.0,0.22239583333333332,2.6666666666666665,8.78,96.66666666666667,0.03255866172673179,0.9767598518019536,0.0,0.0,1.3390625,14.5,93.33333333333333,0.065258424031944,1.5284146172016118
Gallo,25,0.5,5,30,0.0,0.0,0.28802083333333334,2.3666666666666667,9.0,100.0,0.0,0.0,0.0,0.0,1.8567708333333333,17.233333333333334,93.33333333333333,0.11368466919538744,2.883762200532387
Gallo,25,0.75,5,30,0.0,0.0,0.2838541666666667,2.3666666666666667,8.7,100.0,0.0,0.0,0.0,0.0,1.821875,17.5,86.66666666666667,0.19946375660015808,2.0969716323380703
Gallo,25,1.0,5,30,0.0,0.0,0.27395833333333336,2.5,9.366666666666669,100.0,0.0,0.0,0.011534025374855825,0.06317445876645515,1.6088541666666667,16.433333333333334,80.0,0.04236136500562851,0.5100978555069748
Gallo,50,0.25,5,30,0.0,0.0,1.54375,3.7666666666666666,21.30666666666667,96.66666666666667,0.012511729746637473,0.3753518923991242,0.0,0.0,25.609895833333333,28.666666666666668,86.66666666666667,0.05098276258529485,0.5644630674931607
Gallo,50,0.5,5,30,0.0,0.0,1.98125,3.2,21.360000000000003,96.66666666666667,0.016175621028307337,0.4852686308492201,0.0,0.0,37.92395833333333,34.96666666666667,83.33333333333334,0.07159316273328407,1.2997316138615533
Gallo,50,0.75,5,30,0.0,0.0,1.6625,3.1333333333333333,22.006666666666668,100.0,0.0,0.0,0.04210705740295313,0.21566446088137298,33.021875,33.833333333333336,73.33333333333333,0.14045347123239552,1.9349377191921635
Gallo,50,1.0,5,30,0.0024768824306472914,0.013566443795537467,1.8296875,3.2,18.26,100.0,0.0,0.0,0.01820912534823397,0.06487947759397539,41.48645833333333,35.96666666666667,63.33333333333333,0.0776771849067999,0.45871105166691434
Gallo,75,0.25,5,30,0.0693093510032459,0.37744844910144026,4.3421875,4.033333333333333,31.13333333333333,,,,0.0,0.0,157.34375,44.166666666666664,,,
Gallo,75,0.5,5,30,0.02357211889776772,0.12910981248501197,4.521875,3.9,32.760000000000005,,,,0.0,0.0,167.3484375,46.9,,,
Gallo,75,0.75,5,30,0.0,0.0,5.575,3.6333333333333333,37.226666666666674,,,,0.0,0.0,208.0734375,52.43333333333333,,,
Gallo,75,1.0,5,30,8.192826361238101e-05,0.0004487395807773076,4.8171875,3.7666666666666666,32.37333333333333,,,,0.005650092011274932,0.030946828465550143,187.41770833333334,49.833333333333336,,,
Gallo,100,0.25,5,30,0.033927056827820185,0.18582614334356776,12.2375,3.9,45.43999999999999,,,,,,,,,,
Gallo,100,0.5,5,30,0.0,0.0,11.366145833333333,4.133333333333334,51.720000000000006,,,,,,,,,,
Gallo,100,0.75,5,30,0.0,0.0,11.398958333333333,3.9,47.53999999999999,,,,,,,,,,
Gallo,100,1.0,5,30,0.002010819416308907,0.00974348393141682,12.085416666666667,3.6666666666666665,47.63333333333333,,,,,,,,,,
Gallo,150,0.25,5,30,0.000368177667815381,0.0020165921383212796,37.36302083333333,4.266666666666667,85.86666666666665,,,,,,,,,,
Gallo,150,0.5,5,30,0.000847556741029441,0.003449893058434147,34.50364583333333,4.166666666666667,84.48,,,,,,,,,,
Gallo,150,0.75,5,30,0.002814624414596914,0.011184606615849104,36.5515625,3.933333333333333,75.01333333333332,,,,,,,,,,
Gallo,150,1.0,5,30,0.003083654157116054,0.010478971741084154,36.54635416666667,4.266666666666667,85.78666666666668,,,,,,,,,,
Hidden_Clique,10,0.0,6,30,0.0,0.0,0.0026041666666666665,5.933333333333334,1.1722222222222227,100.0,0.0,0.0,0.0,0.0,0.0005208333333333333,3.0,100.0,0.0,0.0
