n,beam_width,avg_gap (%),std_gap,success_rate (%),avg_time (s),max_gap (%)
10,1,0.0,0.0,100.0,0.0,0.0
10,2,0.0,0.0,100.0,0.0015625,0.0
10,3,0.0,0.0,100.0,0.0015625,0.0
10,5,0.0,0.0,100.0,0.0020833333333333333,0.0
10,10,0.0,0.0,100.0,0.0036458333333333334,0.0
10,25,0.0,0.0,100.0,0.009375,0.0
10,35,0.0,0.0,100.0,0.009895833333333333,0.0
10,40,0.0,0.0,100.0,0.013020833333333334,0.0
10,50,0.0,0.0,100.0,0.010416666666666666,0.0
10,60,0.0,0.0,100.0,0.014583333333333334,0.0
10,75,0.0,0.0,100.0,0.026041666666666668,0.0
10,85,0.0,0.0,100.0,0.023958333333333335,0.0
10,100,0.0,0.0,100.0,0.0203125,0.0
10,110,0.0,0.0,100.0,0.021875,0.0
10,125,0.0,0.0,100.0,0.021354166666666667,0.0
10,150,0.0,0.0,100.0,0.021354166666666667,0.0
10,175,0.0,0.0,100.0,0.022395833333333334,0.0
10,200,0.0,0.0,100.0,0.021354166666666667,0.0
10,225,0.0,0.0,100.0,0.022395833333333334,0.0
10,250,0.0,0.0,100.0,0.0234375,0.0
10,275,0.0,0.0,100.0,0.0234375,0.0
10,300,0.0,0.0,100.0,0.021354166666666667,0.0
25,1,1.3333333333333333,3.3993463423951895,86.66666666666667,0.003125,10.0
25,2,0.3333333333333333,1.7950549357115013,96.66666666666667,0.005208333333333333,10.0
25,3,0.0,0.0,100.0,0.007291666666666667,0.0
25,5,0.0,0.0,100.0,0.011458333333333333,0.0
25,10,0.0,0.0,100.0,0.020833333333333332,0.0
25,25,0.0,0.0,100.0,0.057291666666666664,0.0
25,35,0.0,0.0,100.0,0.084375,0.0
25,40,0.0,0.0,100.0,0.10885416666666667,0.0
25,50,0.0,0.0,100.0,0.14791666666666667,0.0
25,60,0.0,0.0,100.0,0.184375,0.0
25,75,0.0,0.0,100.0,0.25625,0.0
25,85,0.0,0.0,100.0,0.3223958333333333,0.0
25,100,0.0,0.0,100.0,0.38385416666666666,0.0
25,110,0.0,0.0,100.0,0.4348958333333333,0.0
25,125,0.0,0.0,100.0,0.5869791666666667,0.0
25,150,0.0,0.0,100.0,0.6822916666666666,0.0
25,175,0.0,0.0,100.0,0.859375,0.0
25,200,0.0,0.0,100.0,1.1291666666666667,0.0
25,225,0.0,0.0,100.0,1.2973958333333333,0.0
25,250,0.0,0.0,100.0,1.4697916666666666,0.0
25,275,0.0,0.0,100.0,1.6682291666666667,0.0
25,300,0.0,0.0,100.0,1.9078125,0.0
40,1,1.1111111111111112,2.484519974999766,83.33333333333334,0.00625,6.666666666666667
40,2,0.4444444444444445,1.6629588385661962,93.33333333333333,0.011979166666666667,6.666666666666667
40,3,0.22222222222222224,1.196703290474334,96.66666666666667,0.015104166666666667,6.666666666666667
40,5,0.0,0.0,100.0,0.022916666666666665,0.0
