n,beam_width,avg_gap (%),std_gap,success_rate (%),avg_time (s),max_gap (%)
10,1,0.0,0.0,100.0,0.0005208333333333333,0.0
10,2,0.0,0.0,100.0,0.0010416666666666667,0.0
10,3,0.0,0.0,100.0,0.0,0.0
10,5,0.0,0.0,100.0,0.0010416666666666667,0.0
10,10,0.0,0.0,100.0,0.0015625,0.0
10,25,0.0,0.0,100.0,0.0026041666666666665,0.0
10,50,0.0,0.0,100.0,0.005208333333333333,0.0
10,75,0.0,0.0,100.0,0.008854166666666666,0.0
10,100,0.0,0.0,100.0,0.013541666666666667,0.0
10,125,0.0,0.0,100.0,0.015625,0.0
10,150,0.0,0.0,100.0,0.015625,0.0
10,200,0.0,0.0,100.0,0.0140625,0.0
10,250,0.0,0.0,100.0,0.0140625,0.0
10,300,0.0,0.0,100.0,0.0171875,0.0
25,1,1.3333333333333333,3.3993463423951895,86.66666666666667,0.0020833333333333333,10.0
25,2,0.6666666666666666,2.494438257849295,93.33333333333333,0.003125,10.0
25,3,0.6666666666666666,2.494438257849295,93.33333333333333,0.003125,10.0
25,5,0.3333333333333333,1.7950549357115013,96.66666666666667,0.004166666666666667,10.0
25,10,0.3333333333333333,1.7950549357115013,96.66666666666667,0.005208333333333333,10.0
25,25,0.0,0.0,100.0,0.011458333333333333,0.0
25,50,0.0,0.0,100.0,0.020833333333333332,0.0
25,75,0.0,0.0,100.0,0.030208333333333334,0.0
25,100,0.0,0.0,100.0,0.0359375,0.0
25,125,0.0,0.0,100.0,0.04635416666666667,0.0
25,150,0.0,0.0,100.0,0.052083333333333336,0.0
25,200,0.0,0.0,100.0,0.07447916666666667,0.0
25,250,0.0,0.0,100.0,0.08541666666666667,0.0
25,300,0.0,0.0,100.0,0.10833333333333334,0.0
50,1,1.4285714285714284,2.7902215605153877,76.66666666666667,0.019791666666666666,9.523809523809524
50,2,0.7936507936507937,1.7746571249998333,83.33333333333334,0.016666666666666666,4.761904761904762
50,3,0.7936507936507937,1.7746571249998333,83.33333333333334,0.016145833333333335,4.761904761904762
50,5,0.31746031746031744,1.1878277418329972,93.33333333333333,0.022916666666666665,4.761904761904762
50,10,0.15873015873015872,0.8547880646245245,96.66666666666667,0.03229166666666667,4.761904761904762
50,25,0.0,0.0,100.0,0.053125,0.0
50,50,0.0,0.0,100.0,0.10052083333333334,0.0
50,75,0.0,0.0,100.0,0.14479166666666668,0.0
50,100,0.0,0.0,100.0,0.18072916666666666,0.0
50,125,0.0,0.0,100.0,0.21979166666666666,0.0
50,150,0.0,0.0,100.0,0.2708333333333333,0.0
50,200,0.0,0.0,100.0,0.3614583333333333,0.0
50,250,0.0,0.0,100.0,0.42135416666666664,0.0
50,300,0.0,0.0,100.0,0.5020833333333333,0.0
100,1,5.555555555555555,3.1295748406337194,10.0,0.078125,11.11111111111111
100,2,4.222222222222222,2.8888888888888893,16.666666666666664,0.08541666666666667,11.11111111111111
100,3,4.074074074074074,2.5065073060279457,13.333333333333334,0.09010416666666667,8.88888888888889
100,5,2.962962962962963,2.5228720542113185,30.0,0.0984375,8.88888888888889
100,10,2.8148148148148153,2.429810291386181,30.0,0.1234375,8.88888888888889
100,25,2.074074074074074,1.982087134853282,40.0,0.22447916666666667,6.666666666666667
100,50,1.4074074074074074,1.766942287685417,56.666666666666664,0.3203125,4.444444444444445
100,75,1.1851851851851853,1.5956043872991124,60.0,0.5171875,4.444444444444445
100,100,1.1851851851851853,1.48887046238828,56.666666666666664,0.6708333333333333,4.444444444444445
100,125,1.1111111111111112,1.49071198499986,60.0,0.8354166666666667,4.444444444444445
100,150,1.1111111111111112,1.49071198499986,60.0,0.9526041666666667,4.444444444444445
100,200,1.037037037037037,1.48887046238828,63.33333333333333,1.1213541666666667,4.444444444444445
100,250,1.037037037037037,1.48887046238828,63.33333333333333,1.5411458333333334,4.444444444444445
100,300,0.8888888888888888,1.474055462380178,70.0,1.759375,4.444444444444445
200,1,8.13186813186813,3.695097498291133,10.0,0.2713541666666667,14.285714285714286
200,2,6.263736263736264,3.90225953946477,23.333333333333332,0.2703125,12.087912087912088
200,3,4.981684981684982,4.177109242534339,36.666666666666664,0.29791666666666666,12.087912087912088
200,5,5.311355311355311,3.765061752463806,30.0,0.31875,9.89010989010989
200,10,3.9926739926739923,3.704707651057481,43.333333333333336,0.38385416666666666,9.89010989010989
200,25,3.663003663003663,3.615071001164931,46.666666666666664,0.5932291666666667,8.791208791208792
200,50,2.8571428571428563,3.3523988831201614,56.666666666666664,0.9265625,8.791208791208792
200,75,2.564102564102564,2.9938193028135602,56.666666666666664,1.2755208333333334,7.6923076923076925
200,100,2.4175824175824174,3.0214784801906633,60.0,1.615625,7.6923076923076925
200,125,2.4908424908424904,3.120225558834704,60.0,2.0640625,7.6923076923076925
200,150,2.454212454212454,3.0780130635231817,60.0,2.3671875,7.6923076923076925
200,200,2.0146520146520146,2.8947000879311866,66.66666666666666,2.9875,7.6923076923076925
200,250,1.794871794871795,2.801419605128043,70.0,3.721875,7.6923076923076925
200,300,1.9780219780219779,2.8571428571428568,66.66666666666666,4.459375,7.6923076923076925
300,1,8.259803921568626,5.142446579625145,23.333333333333332,0.7458333333333333,15.441176470588236
300,2,7.426470588235294,4.620666865695581,26.666666666666668,0.771875,12.5
300,3,7.156862745098039,4.798916960988399,30.0,0.7692708333333333,13.235294117647058
300,5,5.367647058823528,5.087718153477768,46.666666666666664,0.8755208333333333,11.764705882352942
300,10,5.147058823529411,5.230417424640805,50.0,1.0333333333333334,12.5
300,25,4.313725490196079,4.622161732887257,50.0,1.8942708333333333,10.294117647058824
300,50,3.823529411764707,4.4093130442838095,56.666666666666664,2.9109375,10.294117647058824
300,75,3.4803921568627456,4.303966233186441,60.0,3.6005208333333334,10.294117647058824
300,100,2.916666666666667,4.109249724084262,63.33333333333333,4.5453125,10.294117647058824
300,125,2.6225490196078436,3.9809384585986196,66.66666666666666,5.461979166666667,10.294117647058824
300,150,2.524509803921569,3.884707272874578,70.0,6.461979166666667,10.294117647058824
300,200,2.2794117647058827,3.8034446082623523,73.33333333333333,8.6,10.294117647058824
300,250,2.2794117647058827,3.8034446082623523,73.33333333333333,8.066666666666666,10.294117647058824
300,300,2.8431372549019613,4.052946393842037,66.66666666666666,9.854166666666666,10.294117647058824
10,35,0.0,0.0,100.0,0.0036458333333333334,0.0
10,40,0.0,0.0,100.0,0.0046875,0.0
10,60,0.0,0.0,100.0,0.00625,0.0
10,85,0.0,0.0,100.0,0.009895833333333333,0.0
10,110,0.0,0.0,100.0,0.013020833333333334,0.0
10,175,0.0,0.0,100.0,0.0171875,0.0
10,225,0.0,0.0,100.0,0.015625,0.0
10,275,0.0,0.0,100.0,0.014583333333333334,0.0
25,35,0.0,0.0,100.0,0.013541666666666667,0.0
25,40,0.0,0.0,100.0,0.016666666666666666,0.0
25,60,0.0,0.0,100.0,0.025,0.0
25,85,0.0,0.0,100.0,0.049479166666666664,0.0
25,110,0.0,0.0,100.0,0.059375,0.0
25,175,0.0,0.0,100.0,0.09895833333333333,0.0
25,225,0.0,0.0,100.0,0.12239583333333333,0.0
25,275,0.0,0.0,100.0,0.1515625,0.0
50,35,0.0,0.0,100.0,0.07708333333333334,0.0
50,40,0.0,0.0,100.0,0.08645833333333333,0.0
50,60,0.0,0.0,100.0,0.11614583333333334,0.0
50,85,0.0,0.0,100.0,0.17916666666666667,0.0
50,110,0.0,0.0,100.0,0.21302083333333333,0.0
50,175,0.0,0.0,100.0,0.3203125,0.0
50,225,0.0,0.0,100.0,0.4354166666666667,0.0
50,275,0.0,0.0,100.0,0.4984375,0.0
75,1,2.976190476190476,3.0699516567208636,46.666666666666664,0.0328125,7.142857142857143
75,2,2.2619047619047614,2.6858367077805902,53.333333333333336,0.03697916666666667,7.142857142857143
75,3,1.7857142857142856,2.3957871187497752,60.0,0.04114583333333333,7.142857142857143
75,5,1.3095238095238095,1.7210514636667809,63.33333333333333,0.05,3.5714285714285716
75,10,0.8333333333333335,1.5105449452916098,76.66666666666667,0.06197916666666667,3.5714285714285716
75,25,0.35714285714285715,1.0714285714285714,90.0,0.109375,3.5714285714285716
75,35,0.11904761904761905,0.6410910484683934,96.66666666666667,0.14895833333333333,3.5714285714285716
75,40,0.11904761904761905,0.6410910484683934,96.66666666666667,0.15729166666666666,3.5714285714285716
75,50,0.11904761904761905,0.6410910484683934,96.66666666666667,0.1953125,3.5714285714285716
75,60,0.11904761904761905,0.6410910484683934,96.66666666666667,0.20052083333333334,3.5714285714285716
75,75,0.0,0.0,100.0,0.2515625,0.0
75,85,0.0,0.0,100.0,0.31302083333333336,0.0
75,100,0.0,0.0,100.0,0.43697916666666664,0.0
75,110,0.0,0.0,100.0,0.4041666666666667,0.0
75,125,0.0,0.0,100.0,0.421875,0.0
75,150,0.0,0.0,100.0,0.45,0.0
75,175,0.0,0.0,100.0,0.6359375,0.0
75,200,0.0,0.0,100.0,0.7421875,0.0
75,225,0.0,0.0,100.0,0.8067708333333333,0.0
75,250,0.0,0.0,100.0,0.8135416666666667,0.0
75,275,0.0,0.0,100.0,0.8890625,0.0
75,300,0.0,0.0,100.0,1.0182291666666667,0.0
100,35,1.6296296296296298,1.8083786097383263,50.0,0.2015625,4.444444444444445
100,40,1.4814814814814814,1.7529125283258125,53.333333333333336,0.23541666666666666,4.444444444444445
100,60,1.1851851851851853,1.5956043872991124,60.0,0.31145833333333334,4.444444444444445
100,85,1.1111111111111112,1.49071198499986,60.0,0.4125,4.444444444444445
100,110,1.1111111111111112,1.49071198499986,60.0,0.540625,4.444444444444445
100,175,1.037037037037037,1.48887046238828,63.33333333333333,0.7890625,4.444444444444445
100,225,1.037037037037037,1.48887046238828,63.33333333333333,0.9645833333333333,4.444444444444445
100,275,0.8888888888888888,1.474055462380178,70.0,1.1692708333333333,4.444444444444445
